Property_description,Property_type,Address_of_property,Agent_of_property,Added_date,Updated_date,Price_of_Property,Number_of_rooms,Num_of_bathrooms,Num_of_toilets
Brand New 3bedroom Detached Bungalow With A Room And Parlor Bq,Bungalow,New Gra In Transekulu Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,6-Dec-22,6-Dec-22,"?35,000,000",3,4,4
4 Bedrooms Bungalow,Bungalow,Enugu Area Enugu,Almon Real Estate Services,23-Aug-22,24-Nov-22,"?35,000,000",4,0,0
4 Bedrooms Bungalow,Bungalow,Enugu Area Enugu,Almon Real Estate Services,23-Aug-22,24-Nov-22,"?35,000,000",4,0,0
5 Bedroom Detached House For Sale In Enugu Suburb,Bungalow,"Republic, Independence Layout, Enugu Enugu Suburb Enugu Area Enugu",Godwin Kalu & Co.,17-Feb-15,17-Feb-15,"?35,000,000",5,5,0
5 Bedroom Detached House For Sale Within,Bungalow,Golf Estate Enugu Suburb Enugu Area Enugu,Godwin Kalu & Co.,31-May-16,31-May-16,"?38,000,000",4,4,5
Block Of 4 Flats With 2 Bedroom Each And A Penthouse,Block Of Flat,Abakpa Nike Enugu Suburb Enugu Area Enugu,Winniealfred Properties,22-Dec-22,15-Feb-23,"?40,000,000",4,0,0
Newly Built 3 Bedroom Bungalow,Bungalow,New Gra Enugu Enugu Area Enugu,Grace C Njuru,26-Jan-23,26-Jan-23,"?40,000,000",3,3,4
Brand New 3 Bedroom Bungalow With Jaccuzi Bath And Furnished Cabinets,Bungalow,Almond Estate Centenary City Lifestyle Enugu Area Enugu,Emmglo properties and roofing,18-Jan-23,18-Jan-23,"?40,000,000",3,4,4
Luxury Built Twin Bungalow,Bungalow,"Premier Layout, Idependence Layout Enugu Area Enugu",Onyekachukwu Umeh,1-Dec-22,1-Dec-22,"?40,000,000",3,3,4
Newly And Tastefully Built Duplex,Duplex,Emene Enugu Suburb Enugu Area Enugu,Favour Asadu,31-Aug-21,31-Aug-21,"?43,000,000",4,4,0
4 Bedroom Detached Bungalow,Bungalow,New Gra Transekulu Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?45,000,000",4,5,5
4 Bedroom Detached Bungalow,Bungalow,New Gra Transekulu Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,3-Jan-23,3-Jan-23,"?45,000,000",4,5,5
Tastefully Built 4 Bedroom Detached Bungalow Insuit In A Mini Estate,Bungalow,New Gra Transekulu Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,8-Dec-22,8-Dec-22,"?45,000,000",4,5,5
"For Sale: 4 Bedroom Semi Detached Duplex In An Estate, Independence Layout,enugu",Duplex,Within An Estate In Independence Layout Enugu Suburb Enugu Area Enugu,Godwin Kalu & Co.,10-Dec-17,10-Dec-17,"?45,000,000",4,4,0
4 Bedroom Detached Bungalow Insuit,Bungalow,Almond Garden City Centenary City Lifestyle Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,18-Jan-23,18-Jan-23,"?48,000,000",4,5,5
4 Bedroom Detached Bungalow Insuit With Bq,Bungalow,Premier Layout By Goshen Estate Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?50,000,000",4,5,5
Lovely 4 Bedroom Detached Bungalow,Bungalow,Premier Layout Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?50,000,000",4,5,5
An Exquisitly Finished 4 Bedroom House Located At Golf Estate,Bungalow,Golf Estate Enugu Suburb Enugu Area Enugu,D.O.H  REALTORS,13-Jul-18,13-Jul-18,"?50,000,000",4,5,0
5 Bedroom Duplex For Sale,Duplex,"Goshen Estate, Independence Layout Enugu Suburb Enugu Area Enugu",Godwin Kalu & Co.,19-Nov-16,19-Nov-16,"?50,000,000",5,5,6
Spacious 8 Bedroom Duplex,Duplex,"Trans Ekulu, Enugu Area Enugu",Iwuba Ifediora and Associates,1-Dec-22,15-Feb-23,"?55,000,000",8,10,10
Spacious 8 Bedroom Duplex With Servants' Quarters,Duplex,"Trans Ekulu, Enugu Enugu Area Enugu",Iwuba Ifediora and Associates,3-Nov-22,15-Feb-23,"?55,000,000",8,8,9
5 Bedroom Detached Duplex,Duplex,Thinkers Corner Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,6-Jan-23,6-Jan-23,"?55,000,000",5,6,6
4 Bedroom Duplex,Duplex,Thinkers Corner Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,4-Jan-23,4-Jan-23,"?55,000,000",4,5,5
"A Standard 8 Bedroom Double Duplex, 4 Bedroom And Parlour Each,",Duplex,Destiny Estate Close To Airforce Thinkers Corner Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?55,000,000",10,10,10
8 Bedroom Twin Duplex For Sale At Independence Layout Enugu,Duplex,"Lords Street, Independence Layout Enugu Suburb Enugu Area Enugu",Digital Crypto Limited,10-Aug-18,10-Aug-18,"?55,000,000",8,8,0
Twin Duplex For Sale At Independence Layout ,Duplex,Lords Street Independence Layout Enugu Suburb Enugu Area Enugu,Digital Crypto Limited,10-Aug-18,10-Aug-18,"?55,000,000",8,8,0
4 Bedroom Terrace Duplex (corner Unit),Duplex,"Atlantic Ville Estate, Harris Drive, Besides Vgc Victoria Garden City Lekki Lagos",Romax Properties Limited ,21-Jan-23,11-Feb-23,"?58,000,000",4,4,5
3 Bedroom Semi Detached Duplex With Storage (corner Unit),Duplex,"Imperial Oak Estate, Orchid Road, Lekki, Lagos Lafiaji Lekki Lagos",Romax Properties Limited ,18-Jan-23,11-Feb-23,"?60,000,000",3,3,4
"Tastefully Built 4 Bedroom Detached Bungalow Insuit, Solar Powered With Electric Fence",Bungalow,Almond Garden Estate Centenary City Lifestyle Enugu Area Enugu,Emmglo properties and roofing,18-Jan-23,18-Jan-23,"?65,000,000",4,5,5
Tastefully Built 4 Bedroom Detached Bungalow All Insuit,Bungalow,Almond Garden Estate Centenary Enugu Area Enugu,Emmglo properties and roofing,18-Jan-23,18-Jan-23,"?65,000,000",4,4,5
8 Units Of 3 Bedrooms Flat,Block Of Flat,Abakpa By Nike Road Enugu Suburb Enugu Area Enugu,Onyekachi Sylvester,5-Jan-23,5-Jan-23,"?65,000,000",10,10,10
Self Contain,Self contain,By Presidential Road Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,4-Jan-23,4-Jan-23,"?65,000,000",10,10,10
A Modern 4 Flats Of 3 Bedroom,Block Of Flat,Thinkers Corner Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?65,000,000",0,0,0
Tastefully Built 5 Bedroom Duplex,Duplex,Sunrise Estate Emene Enugu Area Enugu,Nwokolo Stanley,1-Dec-22,1-Dec-22,"?65,000,000",5,4,4
Six Bedroom Detached House (fenced With Gate),Bungalow,Premier Layout Enugu Suburb Enugu Area Enugu,gedegedeservice101@gmail.com null,31-Oct-18,31-Oct-18,"?65,000,000",6,5,0
Semi Dettach Duplex With For Rooms Ensuit,Duplex,Nza Street Enugu Suburb Enugu Area Enugu,Emeka Olisakwue,18-Jun-18,18-Jun-18,"?65,000,000",4,4,0
Blocks Of Flats,Block Of Flat,Meniru In Agbani Road Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,3-Jan-23,3-Jan-23,"?70,000,000",0,0,0
9 Flat Of 2 Bedroom And 3 Bedroom,Block Of Flat,Meniru In Agbani Road Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,6-Dec-22,6-Dec-22,"?70,000,000",10,10,10
Duplex,Duplex,Transekuku Phase 6 Enugu Area Enugu,Coalcityhomes Nig Ltd,22-Nov-22,22-Nov-22,"?70,000,000",6,6,8
Duplex,Duplex,Transekuku Phase 6 Enugu Area Enugu,Coalcityhomes Nig Ltd,22-Nov-22,22-Nov-22,"?70,000,000",6,6,8
Twin Brand New Duplex For Sale,Duplex,New Gra Enugu Suburb Enugu Area Enugu,Favour Asadu,1-Jun-21,1-Jun-21,"?70,000,000",6,6,0
Tastefully Built Twin 4 Bedroom Duplex,Duplex,Enugu Enugu Suburb Enugu Area Enugu,Icebridge Homes,18-Dec-20,18-Dec-20,"?70,000,000",4,4,5
5 Bedroom Detached Duplex Insuit,Duplex,Golf Estate Gra Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?75,000,000",5,6,6
6 Flats Of 3 Bedroom,Block Of Flat,"Toni, Frank Estate Emene Enugu Suburb Enugu Area Enugu",Emmglo properties and roofing,4-Jan-23,4-Jan-23,"?75,000,000",3,4,4
8 Flats Of 2 Bedrooms,Block Of Flat,Idaw River Achara Layout Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,4-Jan-23,4-Jan-23,"?75,000,000",0,0,0
5 Bedroom Detached Duplex With Bq,Duplex,Golf Estate Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,3-Jan-23,3-Jan-23,"?75,000,000",0,0,0
5 Bedroom Detached Duplex With Bq,Duplex,Golf Estate Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,7-Dec-22,7-Dec-22,"?75,000,000",5,5,6
"Newly Built 5 Bedrooms Detached Duplex With Security House, Overhead Tank And Fenced",Duplex,New Gra Transekulu Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?75,000,000",5,6,6
A Luxury 5 Bedroom Fully Detached Duplex,Duplex,Emene Express Way By Proda Enugu Suburb Enugu Area Enugu,Futurelandlords realtors and construction limited ,23-Aug-22,24-Nov-22,"?75,000,000",5,5,5
Newly Built 4 Bedroom Duplex In A Serene Neighborhood,Duplex,"Emene, Enugu Enugu Area Enugu",Iwuba Ifediora and Associates,1-Nov-22,15-Feb-23,"?80,000,000",4,4,5
4 Bedroom Detached Duplex,Duplex,Enugu Suburb Enugu Area Enugu,Iwuba Ifediora and Associates,6-Jan-23,15-Feb-23,"?80,000,000",4,4,5
Newly Built 4 Bedroom Duplex In A Serene Neighborhood,Duplex,"Spotters Lifestyle Estate, Centenary City. Enugu Suburb Enugu Area Enugu",Iwuba Ifediora and Associates,6-Jan-23,15-Feb-23,"?80,000,000",4,5,5
Newly Built 4 Bedroom Duplex In A Serene Neighborhood,Duplex,"Spotters Lifestyle Estate, Centenary City. Enugu Suburb Enugu Area Enugu",Iwuba Ifediora and Associates,1-Nov-22,15-Feb-23,"?80,000,000",4,4,5
Classic Newly Built 4 Bedroom Detached Duplex With Bq,Duplex,Spotter Lifestyle Estate In Centenary City Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?80,000,000",4,5,5
Luxurious Built 4 Bedroom Duplex,Duplex,Centenary Estate Enugu Area Enugu,Eze Graham,1-Dec-22,1-Dec-22,"?80,000,000",4,5,5
Self Contain Of 32 Rooms,Self contain,Lomalinda By Independence Layout Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?80,000,000",10,10,10
"Properly Finished 4 Bedroom Duplex With Bq Location Spotter Lifestyle Estate, Centenary City. Enugu For Sale",Duplex,"Centenary City ,independent Layout Enugu Suburb Enugu Area Enugu",Almon Properties,9-Oct-22,9-Oct-22,"?80,000,000",4,5,5
4 Bedroom Duplex,Duplex,New Haven Enugu Area Enugu,Eze Graham,21-Sep-22,21-Sep-22,"?80,000,000",4,5,5
Standard 2 Units Of 5 Bedroom Detached Duplex,Duplex,Enugu Enugu Suburb Enugu Area Enugu,Icebridge Homes,17-Jun-20,17-Jun-20,"?80,000,000",5,5,6
A Marvelously Built Twin 4 Bedroom Detached Duplexes,Bungalow,Enugu Enugu Suburb Enugu Area Enugu,Icebridge Homes,13-Jun-20,13-Jun-20,"?80,000,000",4,4,5
Newly Built Five Bedrfoom Duplex With 2 Rooms Bq.,Duplex,Ivory Estate Transekulu Enugu Area Enugu,Favour Asadu,26-Jan-23,26-Jan-23,"?85,000,000",5,5,6
5 Bedroom Detached Duplex All Insuit,Duplex,Thinkers Corner Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,18-Jan-23,18-Jan-23,"?85,000,000",5,6,6
Newly Built 5 Bedroom Duplex,Duplex,Thinkers Corner Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,4-Jan-23,4-Jan-23,"?85,000,000",5,6,6
Luxury 5 Bedroom Fully Detached Duplex,Duplex,Thinkers Corner Enugu Suburb Enugu Area Enugu,FUTURELANDLORDS REALTORS.AND ASSOCIATES .LTD,3-Jan-23,3-Jan-23,"?85,000,000",5,5,5
5 Bedroom Detached Duplex All Insuit With Bq,Duplex,Ivory Estate Transekulu Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,2-Dec-22,2-Dec-22,"?85,000,000",5,6,6
Modern 27 Rooms Selff Contained Hostel,Self contain,Monaque By Independence Layout Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?85,000,000",10,10,10
Newly Built 4 Bedroom Duplex,Duplex,Enugu Area Enugu,Eze Graham,1-Dec-22,1-Dec-22,"?85,000,000",4,5,5
Properly Finished 4 Bedroom Duplex With Bq,Duplex,"Spotter Lifestyle Estate, Centenary City. Enugu Enugu Area Enugu",Onyekachukwu Umeh,1-Dec-22,1-Dec-22,"?85,000,000",4,4,5
4 Bedroom Detached Duplex,Duplex,Centenary Estate Enugu Area Enugu,Ekene,10-Nov-22,10-Nov-22,"?85,000,000",4,4,5
5 Bedroom Fully Detached Duplex,Duplex,"Imperial Oak Estate, Orchid Road, Lekki, Lagos Lafiaji Lekki Lagos",Romax Properties Limited ,18-Jan-23,11-Feb-23,"?85,000,000",5,5,6
4 Bedroom Detached Duplex All Insuit,Duplex,Valley Estate By Golf Estate Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?90,000,000",4,5,5
5 Bedroom Duplex,Duplex,Trans Ekulu Enugu Suburb Enugu Area Enugu,Paul  Uwakwe ,6-Jan-23,6-Jan-23,"?90,000,000",5,6,6
4 Flats Of 3 Bedroom With Pop Insuit,Block Of Flat,Bricks Estate Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,2-Dec-22,2-Dec-22,"?90,000,000",3,4,4
Newly Built 4 Bedroom Detached Duplex All Insuit,Duplex,Diamond Estate Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,2-Dec-22,2-Dec-22,"?90,000,000",4,5,5
Newly Built 4 Bedroom Detached Duplex With Security House,Duplex,Golf Estate Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,2-Dec-22,2-Dec-22,"?90,000,000",4,5,5
3 Bedroom Flat,Duplex,Golf Estate Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?90,000,000",6,8,8
Lovely 4 Bedroom Detached Duplex,Duplex,Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?90,000,000",4,5,5
Newly Built 4 Bedroom Duplex,Duplex,Chime Estate By Thinker's Corner Enugu Suburb Enugu Area Enugu,Eze Graham,3-Jan-23,3-Jan-23,"?95,000,000",4,5,5
Tastefully Finished 4 Bedroom Detached Duplex With Bq,Duplex,Victory Estate Thinkers Corner Enugu Area Enugu,Emmglo properties and roofing,18-Jan-23,18-Jan-23,"?100,000,000",4,5,5
8 Flats Of 3 Bedroom With Bq 1018sqm,Block Of Flat,Uwani By Awkuzu Street Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,17-Jan-23,17-Jan-23,"?100,000,000",0,0,0
4 Bedroom Detached Duplex,Duplex,Thinkers Corner Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?100,000,000",4,5,5
5 Bedroom Detached Duplex All Insuit,Duplex,Spotters Lifestyle Estate Centinary City Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?100,000,000",5,6,6
5 Bedroom Detached Duplex All Insuit,Duplex,Spotters Lifestyle Estate Centinary City Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?100,000,000",5,6,6
4 Bedroom Duplex,Duplex,Thinker Conner Enugu Enugu Suburb Enugu Area Enugu,Paul  Uwakwe ,9-Jan-23,9-Jan-23,"?100,000,000",4,4,5
4 Bedroom Detached Duplex,Duplex,Victory Estate Thinkers. Corner Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,4-Jan-23,4-Jan-23,"?100,000,000",4,5,5
Newly Built 4 Bedroom Detached Duplex,Duplex,Thinkers Corner Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,3-Jan-23,3-Jan-23,"?100,000,000",4,0,0
Newly Built 5 Bedroom Detached Duplex,Duplex,Spotters Lifestyle Estate Centinary Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,3-Jan-23,3-Jan-23,"?100,000,000",5,6,6
Tastefully Built 5 Bedroom Detached Duplex,Duplex,Spotters Lifestyle Centinary City Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,8-Dec-22,8-Dec-22,"?100,000,000",5,6,6
Newly Built 4 Bedroom Detached Duplex,Duplex,Thinkers Corner Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,6-Dec-22,6-Dec-22,"?100,000,000",4,5,5
6 Flats Of 3 Bedrooms,Block Of Flat,Hillcrest Uwani By Ziks Avenue Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?100,000,000",0,0,0
Ultra Modern 6 Bedroom Detached Duplex,Duplex,Gra Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?100,000,000",6,7,7
Brand New 6 Bedroom Duplex,Duplex,Centenary City Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?100,000,000",6,7,7
5 Bedroom Detached House For Sale In Enugu Suburb,Bungalow,Enugu Enugu Suburb Enugu Area Enugu,Emeka Agu & Co.,29-Jul-15,29-Jul-15,"?100,000,000",5,5,0
Newly Built. 5 Bedroom Detached Duplex All Insuit With Security House,Duplex,Golf Estate Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,2-Dec-22,2-Dec-22,"?110,000,000",5,6,6
Well Built 6 Bedroom Twin Duplex,Duplex,Golf Estate Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?110,001,000",10,10,10
Beautiful 5 Bedroom Duplex,Duplex,Old Gra Enugu Suburb Enugu Area Enugu,Onyekachi Sylvester,3-Jan-23,3-Jan-23,"?115,000,000",5,6,6
5 Bedroom Detached Duplex,Duplex,Valley Estate In Golf Gra Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,30-Dec-22,30-Dec-22,"?115,000,000",5,6,6
Newly Built 5 Bedroom Detached Duplex All Insuit With Automatic Control,Duplex,Valley Estate In Golf Gra Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,12-Dec-22,12-Dec-22,"?115,000,000",5,6,6
Newly Built4 Bedroom Duplex Insuit With Security House,Duplex,Valley Estate By Golf In Gra Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,6-Dec-22,6-Dec-22,"?115,000,000",4,5,5
Block Of Flat,Block Of Flat,Enugu Suburb Enugu Area Enugu,Iwuba Ifediora and Associates,6-Jan-23,15-Feb-23,"?120,000,000",3,1,1
6 Bedrooms Detached Duplex,Duplex,Republic Estate Independence Layout Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?120,000,000",6,7,7
Newly Built 5 Bedroom Detached Duplex All Insuit With Automated Features,Duplex,Valley Estate By Golf Estate Hra Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,15-Jan-23,15-Jan-23,"?120,000,000",5,6,6
5 Bedroom Semi Detached Duplex,Duplex,Centinary Enugu Suburb Enugu Area Enugu,Paul  Uwakwe ,6-Jan-23,6-Jan-23,"?120,000,000",5,5,6
6 Bedroom Detached Duplex With Bq And Gateman House,Duplex,Republic Estate Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,2-Dec-22,2-Dec-22,"?120,000,000",6,7,7
Newly Built 5 Bedroom Duplex,Duplex,Diamond Estate Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?120,000,000",5,5,5
6 Bedroom Detached Duplex With Gateman House On 1200sqm,Duplex,Republic Estate Independence Layout Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?120,000,000",6,7,7
6 Bedroom Detached Duplex With Gateman House On 1200sqm,Duplex,Republic Estate Independence Layout Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?120,000,000",6,7,7
Beautiful 4 Bedroom Duplex,Duplex,Fidelity Estate Enugu Suburb Enugu Area Enugu,Eze Graham,23-Nov-22,23-Nov-22,"?120,000,000",4,5,5
Newly Built 5 Bedroom Duplex,Duplex,Enugu Area Enugu,Favour Asadu,2-Sep-22,2-Sep-22,"?120,000,000",5,6,5
Newly Built 5 Bedroom Duplex,Duplex,Enugu Area Enugu,Favour Asadu,2-Sep-22,2-Sep-22,"?120,000,000",5,6,5
Six Bedroom House In Enugu,Bungalow,Independence Layout Enugu Suburb Enugu Area Enugu,RealtNg,23-Sep-20,23-Sep-20,"?120,000,000",6,7,7
Duplex For Sale,Duplex,Gulf Estate Enugu Suburb Enugu Area Enugu,Favour Asadu,7-Oct-21,7-Oct-21,"?130,000,000",6,6,0
"Twin 6 Bedroom Duplex For Sale @ Golf One Estate, Gra, Enugu",Duplex,"Golf One Estate, Old Gra, Enugu Enugu Suburb Enugu Area Enugu",Pius Anno,11-Jan-23,11-Jan-23,"?138,000,000",6,5,6
